date,bubbles,vnindex,vnindex_growth,Imports of goods and services (annual % growth),Exports of goods and services (constant 2015 US$),Final consumption expenditure (constant 2015 US$),General government final consumption expenditure (annual % growth),Current account balance (% of GDP),Lending interest rate (%),Consumer price index (2010 = 100),Broad money (current LCU),Net domestic credit (current LCU),"Official exchange rate (LCU per US$, period average)",Imports of goods and services (% of GDP),Gross capital formation (annual % growth),Broad money to total reserves ratio,Monetary Sector credit to private sector (% GDP),Gross domestic savings (% of GDP),GDP growth (annual %),GNI (constant 2015 US$),Trade (% of GDP),Domestic credit to private sector (% of GDP),Deposit interest rate (%),Broad money growth (annual %),"Personal remittances, received (current US$)","Foreign direct investment, net (BoP, current US$)","Net primary income (BoP, current US$)","Primary income payments (BoP, current US$)",Gross capital formation (constant 2015 US$),Exports of goods and services (annual % growth),Gross national expenditure (% of GDP),Final consumption expenditure (annual % growth),"Total debt service (% of exports of goods, services and primary income)","Use of IMF credit (DOD, current US$)","Interest rate spread (lending rate minus deposit rate, %)","Inflation, consumer prices (annual %)",GNI growth (annual %),GDP (constant 2015 US$),Exports of goods and services (% of GDP),Gross national expenditure (constant 2015 US$),Final consumption expenditure (% of GDP),Households and NPISHs Final consumption expenditure (annual % growth),"Unemployment, total (% of total labor force) (modeled ILO estimate)","Personal remittances, received (% of GDP)","Goods exports (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Current account balance (BoP, current US$)","Imports of goods and services (BoP, current US$)","Multilateral debt service (TDS, current US$)","Debt service on external debt, total (TDS, current US$)",Short-term debt (% of total external debt),"IBRD loans and IDA credits (DOD, current US$)","External debt stocks, total (DOD, current US$)",Public and publicly guaranteed debt service (% of GNI),Total debt service (% of GNI),Households and NPISHs Final consumption expenditure (constant 2015 US$),General government final consumption expenditure (% of GDP)
11/2/2001,0,265.03,0.16,15.88682439,34439635028,70222768017,5.570954576,-1.136539173,9.116794872,49.43293047,2.79E+14,2.32E+14,15194.21795,61.17869954,12.42398004,4.531534929,42.53994667,28.69587868,6.301139807,1.03E+11,115.9674947,42.53994667,6.271602564,15.43790836,1666923077,-1384615385,-683461538.5,873692307.7,25447739919,11.41599618,104.2096156,7.020656117,6.201593693,442705681.2,2.845192308,3.175078706,6.081864836,1.05E+11,54.78879517,95670507936,71.30412132,7.14229736,2.218461538,4.789057276,16447692308,-1540461538,-406153846.2,20914923077,26485376.54,1212024878,5.180492308,1712641846,13233715464,3.293800071,3.551531579,59938883299,6.247189111
12/3/2001,0,283.02,0.07,15.83636479,34692149223,70601562588,5.476991198,-1.429549222,9.08923077,49.57402543,2.81E+14,2.36E+14,15236.85897,61.56821725,12.57450743,4.522041009,42.83536058,28.68499572,6.310980398,1.04E+11,116.3321817,42.83536058,6.359551282,14.35622163,1718461538,-1392307692,-702230769.2,880846153.8,25672621109,10.89195162,104.3780187,7.237716447,6.15556072,444240026.8,2.729679487,3.502953544,6.063887607,1.05E+11,54.76396443,96274183696,71.31500428,7.38509265,2.169230769,4.918477239,16576846154,-1672230769,-505076923.1,21186461538,26554899.27,1211497186,5.133946154,1741181923,13288341052,3.270381821,3.531082909,60269257494,6.239717013
1/2/2002,0,231.7,-0.18,16.31966543,35480917392,71414338218,5.521750013,-1.965602179,9.093846154,49.83882111,2.91E+14,2.46E+14,15297.19872,62.39596277,12.65865874,4.466683453,43.53397267,28.5778423,6.365301181,1.05E+11,117.2838753,43.53397267,6.460897436,14.79588178,1795384615,-1403846154,-727923076.9,891692307.7,26133809951,11.1049562,104.813794,7.492742491,5.913096057,442980313.3,2.632948718,3.784968366,6.115557683,1.07E+11,54.88791248,97579562575,71.4221577,7.657332501,2.13,5.06801258,16970846154,-1923615385,-706076923.1,21867384615,27595979.42,1182223836,5.101761538,1827898154,13516045953,3.144136936,3.406053003,60973049755,6.239000352
2/1/2002,0,204.48,-0.12,16.85342568,36017171366,71848319277,5.660472205,-2.208645086,9.126025641,49.96252182,2.98E+14,2.52E+14,15314.89744,62.83419058,12.59228267,4.420819816,43.93717085,28.48157183,6.409781373,1.05E+11,117.8708819,43.93717085,6.474294872,16.31722866,1820769231,-1407692308,-734846153.8,895384615.4,26370117603,11.84200534,105.0811662,7.530708205,5.716664368,440186254.1,2.651730769,3.73910835,6.185204987,1.07E+11,55.03669126,98281265694,71.51842817,7.686777063,2.14,5.088127958,17235692308,-2043230769,-808153846.2,22276769231,28567536.83,1153478177,5.116123077,1886074308,13689125268,3.041310302,3.301471767,61346467820,6.245755789
3/1/2002,0,193.59,-0.05,17.38718594,36553425339,72282300337,5.799194398,-2.451687994,9.158205128,50.08622253,3.06E+14,2.58E+14,15332.59615,63.2724184,12.52590659,4.37495618,44.34036903,28.38530137,6.454261566,1.06E+11,118.4578885,44.34036903,6.487692308,17.83857554,1846153846,-1411538462,-741769230.8,899076923.1,26606425256,12.57905448,105.3485385,7.568673919,5.520232678,437392195,2.670512821,3.693248334,6.254852291,1.08E+11,55.18547005,98982968812,71.61469863,7.716221624,2.15,5.108243337,17500538462,-2162846154,-910230769.2,22686153846,29539094.25,1124732518,5.130484615,1944250462,13862204582,2.938483669,3.196890532,61719885885,6.252511226
4/1/2002,0,203.14,0.05,17.92094619,37089679312,72716281396,5.93791659,-2.694730901,9.190384616,50.20992324,3.13E+14,2.64E+14,15350.29487,63.71064621,12.45953051,4.329092543,44.7435672,28.2890309,6.498741758,1.06E+11,119.0448951,44.7435672,6.501089744,19.35992242,1871538462,-1415384615,-748692307.7,902769230.8,26842732909,13.31610361,105.6159108,7.606639633,5.323800988,434598135.9,2.689294872,3.647388318,6.324499595,1.08E+11,55.33424884,99684671931,71.7109691,7.745666186,2.16,5.128358716,17765384615,-2282461538,-1012307692,23095538462,30510651.66,1095986860,5.144846154,2002426615,14035283896,2.835657035,3.092309296,62093303949,6.259266663
5/2/2002,0,209.52,0.03,18.45470644,37625933286,73150262456,6.076638783,-2.937773809,9.222564103,50.33362395,3.20E+14,2.70E+14,15367.99359,64.14887402,12.39315444,4.283228907,45.14676538,28.19276044,6.543221951,1.07E+11,119.6319017,45.14676538,6.51448718,20.8812693,1896923077,-1419230769,-755615384.6,906461538.5,27079040561,14.05315275,105.883283,7.644605347,5.127369299,431804076.7,2.708076923,3.601528302,6.394146899,1.09E+11,55.48302762,1.00E+11,71.80723956,7.775110747,2.17,5.148474094,18030230769,-2402076923,-1114384615,23504923077,31482209.08,1067241201,5.159207692,2060602769,14208363211,2.732830401,2.98772806,62466722014,6.2660221
6/3/2002,0,207.81,-0.01,18.98846669,38162187259,73584243516,6.215360975,-3.180816717,9.25474359,50.45732466,3.27E+14,2.76E+14,15385.69231,64.58710183,12.32677836,4.23736527,45.54996356,28.09648997,6.587702144,1.07E+11,120.2189083,45.54996356,6.527884616,22.40261618,1922307692,-1423076923,-762538461.5,910153846.2,27315348214,14.79020189,106.1506553,7.682571061,4.930937609,429010017.6,2.726858974,3.555668286,6.463794203,1.09E+11,55.63180641,1.01E+11,71.90351003,7.804555309,2.18,5.168589473,18295076923,-2521692308,-1216461538,23914307692,32453766.49,1038495542,5.173569231,2118778923,14381442525,2.630003767,2.883146824,62840140079,6.272777537
7/1/2002,0,200.26,-0.04,19.52222695,38698441232,74018224575,6.354083168,-3.423859624,9.286923077,50.58102538,3.35E+14,2.82E+14,15403.39102,65.02532965,12.26040228,4.191501634,45.95316174,28.00021951,6.632182336,1.08E+11,120.8059148,45.95316174,6.541282051,23.92396305,1947692308,-1426923077,-769461538.5,913846153.8,27551655867,15.52725103,106.4180276,7.720536776,4.734505919,426215958.5,2.745641026,3.509808269,6.533441508,1.10E+11,55.7805852,1.02E+11,71.99978049,7.83399987,2.19,5.188704852,18559923077,-2641307692,-1318538462,24323692308,33425323.91,1009749883,5.187930769,2176955077,14554521839,2.527177134,2.778565589,63213558144,6.279532975
8/1/2002,0,197.12,-0.02,20.0559872,39234695205,74452205635,6.49280536,-3.666902532,9.319102564,50.70472609,3.42E+14,2.88E+14,15421.08974,65.46355746,12.1940262,4.145637997,46.35635992,27.90394904,6.676662529,1.08E+11,121.3929214,46.35635992,6.554679487,25.44530993,1973076923,-1430769231,-776384615.4,917538461.5,27787963520,16.26430017,106.6853999,7.75850249,4.538074229,423421899.4,2.764423077,3.463948253,6.603088812,1.10E+11,55.92936399,1.02E+11,72.09605096,7.863444432,2.2,5.208820231,18824769231,-2760923077,-1420615385,24733076923,34396881.32,981004224,5.202292308,2235131231,14727601153,2.4243505,2.673984353,63586976209,6.286288412
9/3/2002,0,191.43,-0.03,20.58974745,39770949179,74886186695,6.631527553,-3.90994544,9.351282051,50.8284268,3.49E+14,2.94E+14,15438.78846,65.90178527,12.12765013,4.099774361,46.7595581,27.80767858,6.721142722,1.09E+11,121.979928,46.7595581,6.568076923,26.96665681,1998461538,-1434615385,-783307692.3,921230769.2,28024271172,17.00134931,106.9527721,7.796468204,4.34164254,420627840.2,2.783205128,3.418088237,6.672736116,1.11E+11,56.07814277,1.03E+11,72.19232142,7.892888993,2.21,5.228935609,19089615385,-2880538462,-1522692308,25142461538,35368438.74,952258565.2,5.216653846,2293307385,14900680468,2.321523866,2.569403117,63960394274,6.293043849
10/1/2002,0,182.97,-0.04,21.1235077,40307203152,75320167754,6.770249745,-4.152988347,9.383461539,50.95212751,3.56E+14,3.00E+14,15456.48718,66.34001308,12.06127405,4.053910724,47.16275627,27.71140811,6.765622914,1.09E+11,122.5669346,47.16275627,6.581474359,28.48800369,2023846154,-1438461538,-790230769.2,924923076.9,28260578825,17.73839844,107.2201444,7.834433918,4.14521085,417833781.1,2.801987179,3.372228221,6.74238342,1.11E+11,56.22692156,1.04E+11,72.28859189,7.922333555,2.22,5.249050988,19354461538,-3000153846,-1624769231,25551846154,36339996.15,923512906.3,5.231015385,2351483538,15073759782,2.218697232,2.464821881,64333812338,6.299799286
11/1/2002,0,177.35,-0.03,21.65726796,40843457125,75754148814,6.908971938,-4.396031255,9.415641026,51.07582822,3.64E+14,3.06E+14,15474.18589,66.7782409,11.99489797,4.008047088,47.56595445,27.61513765,6.810103107,1.10E+11,123.1539412,47.56595445,6.594871795,30.00935057,2049230769,-1442307692,-797153846.2,928615384.6,28496886478,18.47544758,107.4875167,7.872399632,3.94877916,415039722,2.820769231,3.326368205,6.812030724,1.12E+11,56.37570035,1.05E+11,72.38486235,7.951778116,2.23,5.269166367,19619307692,-3119769231,-1726846154,25961230769,37311553.57,894767247.4,5.245376923,2409659692,15246839096,2.115870599,2.360240646,64707230403,6.306554723
12/2/2002,0,179.27,0.01,22.19102821,41379711099,76188129873,7.04769413,-4.639074162,9.447820513,51.19952893,3.71E+14,3.12E+14,15491.88461,67.21646871,11.9285219,3.962183451,47.96915263,27.51886718,6.854583299,1.10E+11,123.7409478,47.96915263,6.608269231,31.53069745,2074615385,-1446153846,-804076923.1,932307692.3,28733194130,19.21249672,107.7548889,7.910365346,3.752347471,412245662.8,2.839551282,3.280508189,6.881678028,1.12E+11,56.52447913,1.05E+11,72.48113282,7.981222678,2.24,5.289281745,19884153846,-3239384615,-1828923077,26370615385,38283110.98,866021588.6,5.259738462,2467835846,15419918411,2.013043965,2.25565941,65080648468,6.31331016
1/2/2003,0,183.41,0.02,22.66435885,42742022327,77043257371,7.231633463,-4.668618604,9.498653846,51.62939037,3.87E+14,3.28E+14,15527.76923,68.0878319,11.76050388,3.958797338,49.16851081,27.50787744,6.948090194,1.12E+11,124.9963039,49.16851081,6.587019231,32.89803911,2116153846,-1462307692,-817153846.2,947000000,29204395431,20.38571153,107.9385554,7.88656185,3.488062933,404979850.8,2.911634615,3.582363505,6.973554498,1.14E+11,56.90847203,1.07E+11,72.49212256,7.940175127,2.241538462,5.292134721,20636384615,-3343615385,-1856076923,27297769231,42490649.55,835684496.9,5.604861538,2568756692,15749785201,1.884363477,2.12652346,65811257923,6.325519182
2/6/2003,0,172.38,-0.06,22.60392924,43568079583,77464403809,7.276850603,-4.455120138,9.517307692,51.9355511,3.96E+14,3.37E+14,15545.95513,68.52096728,11.65886194,4.001274861,49.96467081,27.59315815,6.997116895,1.12E+11,125.6646534,49.96467081,6.552371795,32.74403389,2132307692,-1474615385,-823307692.3,958000000,29439289078,20.8218772,107.8548496,7.824792639,3.420210085,400508097.9,2.964935897,3.930078837,6.995783664,1.14E+11,57.14368615,1.07E+11,72.40684185,7.869683016,2.233076923,5.274872318,21123769231,-3328230769,-1781153846,27815538462,45726630.69,834093064,5.935623077,2611501385,15906572676,1.858509624,2.101968747,66168449312,6.330972767
3/3/2003,0,165.58,-0.04,22.54349964,44394136838,77885550247,7.322067743,-4.241621672,9.535961538,52.24171183,4.05E+14,3.47E+14,15564.14102,68.95410266,11.55722,4.043752385,50.76083081,27.67843887,7.046143597,1.13E+11,126.3330029,50.76083081,6.517724359,32.59002867,2148461538,-1486923077,-829461538.5,969000000,29674182726,21.25804287,107.7711438,7.763023429,3.352357237,396036345,3.018237179,4.277794169,7.01801283,1.15E+11,57.37890026,1.08E+11,72.32156113,7.799190904,2.224615385,5.257609915,21611153846,-3312846154,-1706230769,28333307692,48962611.84,832501631.2,6.266384615,2654246077,16063360152,1.83265577,2.077414033,66525640702,6.336426352
4/1/2003,0,139.64,-0.16,22.48307003,45220194094,78306696685,7.367284884,-4.028123205,9.554615385,52.54787256,4.14E+14,3.56E+14,15582.32692,69.38723804,11.45557806,4.086229908,51.5569908,27.76371958,7.095170298,1.13E+11,127.0013524,51.5569908,6.483076923,32.43602346,2164615385,-1499230769,-835615384.6,980000000,29909076373,21.69420854,107.6874379,7.701254219,3.28450439,391564592.2,3.071538461,4.6255095,7.040241996,1.15E+11,57.61411438,1.08E+11,72.23628042,7.728698792,2.216153846,5.240347513,22098538462,-3297461538,-1631307692,28851076923,52198592.98,830910198.4,6.597146154,2696990769,16220147627,1.806801917,2.05285932,66882832092,6.341879937
5/5/2003,0,152.21,0.09,22.42264042,46046251349,78727843123,7.412502024,-3.814624739,9.573269231,52.85403329,4.23E+14,3.66E+14,15600.51282,69.82037342,11.35393612,4.128707431,52.3531508,27.8490003,7.144197,1.14E+11,127.6697019,52.3531508,6.448429487,32.28201824,2180769231,-1511538462,-841769230.8,991000000,30143970021,22.13037421,107.6037321,7.639485008,3.216651542,387092839.3,3.124839743,4.973224832,7.062471162,1.16E+11,57.84932849,1.09E+11,72.1509997,7.658206681,2.207692308,5.22308511,22585923077,-3282076923,-1556384615,29368846154,55434574.13,829318765.5,6.927907692,2739735462,16376935103,1.780948063,2.028304606,67240023481,6.347333522
6/2/2003,0,151.66,0,22.36221081,46872308605,79148989561,7.457719164,-3.601126273,9.591923077,53.16019402,4.32E+14,3.76E+14,15618.69872,70.2535088,11.25229418,4.171184954,53.1493108,27.93428101,7.193223701,1.15E+11,128.3380514,53.1493108,6.413782051,32.12801302,2196923077,-1523846154,-847923076.9,1002000000,30378863668,22.56653988,107.5200263,7.577715798,3.148798694,382621086.4,3.178141025,5.320940164,7.084700328,1.17E+11,58.08454261,1.10E+11,72.06571899,7.587714569,2.199230769,5.205822707,23073307692,-3266692308,-1481461538,29886615385,58670555.28,827727332.7,7.258669231,2782480154,16533722578,1.75509421,2.003749893,67597214871,6.352787107
7/1/2003,0,152.62,0.01,22.30178121,47698365860,79570136000,7.502936304,-3.387627807,9.610576923,53.46635476,4.41E+14,3.85E+14,15636.88461,70.68664417,11.15065224,4.213662478,53.9454708,28.01956173,7.242250403,1.15E+11,129.0064009,53.9454708,6.379134616,31.9740078,2213076923,-1536153846,-854076923.1,1013000000,30613757316,23.00270554,107.4363205,7.515946588,3.080945846,378149333.5,3.231442308,5.668655496,7.106929495,1.17E+11,58.31975672,1.10E+11,71.98043827,7.517222457,2.190769231,5.188560304,23560692308,-3251307692,-1406538462,30404384615,61906536.42,826135899.9,7.589430769,2825224846,16690510054,1.729240356,1.979195179,67954406261,6.358240692
8/1/2003,0,144.89,-0.05,22.2413516,48524423116,79991282438,7.548153444,-3.174129341,9.629230769,53.77251549,4.50E+14,3.95E+14,15655.07051,71.11977955,11.0490103,4.256140001,54.7416308,28.10484244,7.291277104,1.16E+11,129.6747504,54.7416308,6.34448718,31.82000258,2229230769,-1548461538,-860230769.2,1024000000,30848650963,23.43887121,107.3526147,7.454177378,3.013092998,373677580.6,3.28474359,6.016370828,7.129158661,1.18E+11,58.55497084,1.11E+11,71.89515756,7.446730345,2.182307692,5.171297901,24048076923,-3235923077,-1331615385,30922153846,65142517.57,824544467.1,7.920192308,2867969538,16847297529,1.703386503,1.954640466,68311597651,6.363694277
9/3/2003,0,142.11,-0.02,22.18092199,49350480371,80412428876,7.593370584,-2.960630875,9.647884615,54.07867622,4.59E+14,4.05E+14,15673.25641,71.55291493,10.94736836,4.298617524,55.5377908,28.19012316,7.340303806,1.17E+11,130.3430999,55.5377908,6.309839744,31.66599736,2245384615,-1560769231,-866384615.4,1035000000,31083544611,23.87503688,107.2689089,7.392408167,2.94524015,369205827.7,3.338044872,6.36408616,7.151387827,1.19E+11,58.79018495,1.12E+11,71.80987684,7.376238234,2.173846154,5.154035498,24535461538,-3220538462,-1256692308,31439923077,68378498.72,822953034.2,8.250953846,2910714231,17004085005,1.677532649,1.930085752,68668789040,6.369147862
10/1/2003,0,139.19,-0.02,22.12049238,50176537627,80833575314,7.638587725,-2.747132408,9.666538462,54.38483695,4.68E+14,4.14E+14,15691.44231,71.98605031,10.84572642,4.341095047,56.33395079,28.27540387,7.389330507,1.17E+11,131.0114494,56.33395079,6.275192308,31.51199215,2261538462,-1573076923,-872538461.5,1046000000,31318438258,24.31120255,107.185203,7.330638957,2.877387303,364734074.9,3.391346154,6.711801491,7.173616993,1.19E+11,59.02539907,1.12E+11,71.72459613,7.305746122,2.165384615,5.136773096,25022846154,-3205153846,-1181769231,31957692308,71614479.86,821361601.4,8.581715385,2953458923,17160872480,1.651678796,1.905531039,69025980430,6.374601447
11/3/2003,0,135.78,-0.02,22.06006278,51002594882,81254721752,7.683804865,-2.533633942,9.685192308,54.69099768,4.77E+14,4.24E+14,15709.6282,72.41918569,10.74408448,4.383572571,57.13011079,28.36068459,7.438357209,1.18E+11,131.6797989,57.13011079,6.240544872,31.35798693,2277692308,-1585384615,-878692307.7,1057000000,31553331906,24.74736822,107.1014972,7.268869747,2.809534455,360262322,3.444647436,7.059516823,7.195846159,1.20E+11,59.26061318,1.13E+11,71.63931541,7.23525401,2.156923077,5.119510693,25510230769,-3189769231,-1106846154,32475461538,74850461.01,819770168.6,8.912476923,2996203615,17317659956,1.625824942,1.880976325,69383171820,6.380055032
12/1/2003,0,164.86,0.21,21.99963317,51828652138,81675868190,7.729022005,-2.320135476,9.703846154,54.99715841,4.86E+14,4.33E+14,15727.8141,72.85232107,10.64244254,4.426050094,57.92627079,28.4459653,7.48738391,1.18E+11,132.3481484,57.92627079,6.205897436,31.20398171,2293846154,-1597692308,-884846153.8,1068000000,31788225553,25.18353389,107.0177914,7.207100536,2.741681607,355790569.1,3.497948718,7.407232155,7.218075325,1.20E+11,59.4958273,1.13E+11,71.5540347,7.164761899,2.148461538,5.10224829,25997615385,-3174384615,-1031923077,32993230769,78086442.15,818178735.7,9.243238462,3038948308,17474447431,1.599971089,1.856421612,69740363209,6.385508617
